"Maquinaria","Hardware","Software","CapacitacionP","EstudioMer","Ventas_anuales2014"
"Si","No","Si","Si","No",4452486.0
"No","No","No","No","No",1000000.0
"No","No","No","No","No",4.0421187E7
"No","No","No","No","No",6430764.0
"Si","Si","No","No","No",1.8722535E7
"No","No","No","No","No",6293870.0
"No","No","No","No","No",775013.0
"Si","No","No","Si","No",6967345.0
"No","No","No","No","No",7.5781065E7
"Si","Si","Si","Si","Si",7.69E7
"No","No","No","No","No",8.09596E7
"Si","No","No","No","No",2.07843666E8
"No","No","No","No","No",4.4466107E7
"No","No","No","No","No",1.2637E7
"No","No","No","Si","No",1.9448085E7
"Si","No","No","No","No",3.3621388E7
"No","No","No","No","No",9.1776567E7
"No","No","No","No","No",1.27999603E8
"No","Si","Si","Si","No",8.0E7
"No","No","Si","No","No",1.9683587E7
"Si","Si","No","No","No",2.77152611E8
"No","No","No","No","No",2434850.0
"Si","Si","No","No","No",4.4282751E7
"Si","No","No","No","No",6.6128613E7
"Si","No","Si","Si","Si",4.05732784E8
"No","No","No","No","No",209284.0
"Si","Si","Si","Si","No",7132981.0
"No","No","No","No","No",1.05520026E8
"No","No","No","No","No",2.5750833E7
"Si","No","No","No","No",7386927.0
"No","No","No","No","No",1.8248E7
"No","No","No","No","No",2.02613811E8
"Si","No","No","No","No",6.8383145E7
"No","No","No","No","No",2.66476625E8
"Si","Si","Si","Si","Si",1.4870839E7
"No","No","No","No","No",1.2713474E8
"Si","No","No","Si","No",2.0409424E7
"No","No","No","No","No",1.5218293E7
"Si","No","No","No","No",4.7086782E7
"No","No","No","No","No",8.0535849E7
"No","No","No","Si","Si",6.122616E7
"No","No","No","No","No",3.357813E7
"Si","No","No","Si","No",5.4526599E7
"No","Si","Si","Si","No",5.6098362E7
"No","No","No","No","No",1.15837457E8
"Si","Si","Si","Si","Si",1.0713099E7
"No","No","No","No","No",1.09151942E8
"No","No","No","No","No",2.02E8
"No","No","No","No","No",6610851.0
"No","No","No","No","No",6.3544011E7
"No","No","No","No","No",5.1570797E7
"Si","Si","Si","Si","No",5.5073368E7
"Si","No","No","No","No",6400000.0
"No","No","No","No","No",5.6285603E7
"No","No","No","No","No",343814.0
"No","No","No","No","No",2.37312791E8
"No","No","No","No","No",6.0698817E7
"No","No","No","No","No",2.5433043E7
"Si","No","No","No","Si",4.89346E8
"No","No","No","No","No",1.8412009E7
"Si","No","No","No","No",879835.0
"No","Si","Si","No","No",496000.0
"No","No","No","No","No",7.03E7
"No","No","No","No","No",3.2726534E7
"Si","Si","Si","Si","No",2.2801502E7
"Si","Si","Si","Si","Si",4.8E7
"Si","No","No","No","Si",5.1366588E8
"No","No","No","No","No",3.0403912E7
"No","No","No","No","No",6.1669698E7
"No","No","No","No","No",2.04E7
"No","No","No","No","No",8775906.0
"No","No","No","No","No",733000.0
"Si","No","No","Si","No",6.5603879E7
"No","No","No","No","No",2.4790871E7
"No","No","No","No","No",1.2996966E7
"No","No","No","No","No",2.2357668E7
"No","No","No","No","No",67000.0
"Si","Si","Si","No","No",1.5299426E7
"No","No","No","No","No",5158997.0
"No","No","No","No","No",3.156062E7
"No","No","No","Si","No",2.4498443E7
"No","No","No","No","No",1.31378234E8
"No","No","No","No","No",2.6716841E7
"No","No","No","No","No",1.8216081E7
"No","Si","No","No","No",4806978.0
"No","No","No","No","No",5.6563175E7
"No","No","No","No","No",9921159.0
"No","No","No","No","No",2.7336527E7
"No","No","No","No","No",3.4E7
"No","No","No","No","No",1.43908842E8
"Si","Si","Si","No","No",6.3E7
"Si","Si","Si","Si","No",3.7403096E7
"No","No","No","No","No",4.5448459E7
"No","No","No","No","No",1.3165324E7
"Si","Si","No","No","No",3.4220461E7
"No","No","No","No","No",1.86648E7
"No","Si","Si","Si","Si",1.9350308E7
"No","No","No","No","No",3.3289108E7
